epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,5.749855625629425,4.9399999999999995,26.02,5.749855625629425,2.818382931264453e-07
2,5.767240631580353,6.18,27.58,5.766371250152588,7.943282347242824e-07
3,5.748240959644318,8.02,29.74,5.749147415161133,2.23872113856834e-06
4,5.704872453212738,6.94,24.6,5.707086563110352,6.309573444801928e-06
5,5.730998563766479,7.62,26.900000000000002,5.72980260848999,1.778279410038922e-05
6,5.698879933357238,7.960000000000001,28.48,5.700425624847412,5.011872336272722e-05
7,5.691641366481781,8.52,28.16,5.692080497741699,0.00014125375446227546
8,5.626368010044098,7.16,26.240000000000002,5.629653453826904,0.0003981071705534969
9,5.5480123341083525,3.0,17.580000000000002,5.552094459533691,0.0011220184543019643
10,5.512194728851318,3.5999999999999996,18.7,5.51418924331665,0.003162277660168375
11,5.486703002452851,6.4,17.599999999999998,5.488077163696289,0.008912509381337457
12,5.478941154479981,4.8,19.52,5.479397773742676,0.02511886431509578
13,5.477876943349838,3.0,16.76,5.47795295715332,0.07079457843841366
14,5.474921113252639,3.6999999999999997,18.08,5.475072860717773,0.19952623149688792
15,5.475104010105133,2.5,18.18,5.475102424621582,0.5623413251903498
16,5.475272679328919,2.94,17.2,5.475264072418213,1.5848931924611103
17,5.473638141155243,3.8,17.64,5.473719120025635,4.466835921509629
18,5.471403169631958,3.62,17.0,5.4715189933776855,12.589254117941685
19,5.4707500517368315,3.9600000000000004,18.38,5.47078800201416,35.48133892335763
20,5.4715186834335325,3.0,17.1,5.471482276916504,99.99999999999967
